x,y
-0.999,0.0385356
-0.998,0.03861
-0.997,0.0386845
-0.996,0.0387594
-0.995,0.0388344
-0.994,0.0389098
-0.993,0.0389853
-0.992,0.0390612
-0.991,0.0391372
-0.99,0.0392135
-0.989,0.0392901
-0.988,0.0393669
-0.987,0.039444
-0.986,0.0395213
-0.985,0.0395989
-0.984,0.0396767
-0.983,0.0397548
-0.982,0.0398332
-0.981,0.0399118
-0.98,0.0399906
-0.979,0.0400697
-0.978,0.0401491
-0.977,0.0402287
-0.976,0.0403085
-0.975,0.0403887
-0.974,0.0404691
-0.973,0.0405497
-0.972,0.0406306
-0.971,0.0407118
-0.97,0.0407932
-0.969,0.0408749
-0.968,0.0409568
-0.967,0.041039
-0.966,0.0411215
-0.965,0.0412042
-0.964,0.0412872
-0.963,0.0413705
-0.962,0.041454
-0.961,0.0415378
-0.96,0.0416218
-0.959,0.0417061
-0.958,0.0417907
-0.957,0.0418756
-0.956,0.0419607
-0.955,0.0420461
-0.954,0.0421317
-0.953,0.0422176
-0.952,0.0423038
-0.951,0.0423903
-0.95,0.042477
-0.949,0.042564
-0.948,0.0426512
-0.947,0.0427388
-0.946,0.0428266
-0.945,0.0429147
-0.944,0.043003
-0.943,0.0430917
-0.942,0.0431806
-0.941,0.0432697
-0.94,0.0433592
-0.939,0.0434489
-0.938,0.0435389
-0.937,0.0436292
-0.936,0.0437197
-0.935,0.0438106
-0.934,0.0439017
-0.933,0.043993
-0.932,0.0440847
-0.931,0.0441767
-0.93,0.0442689
-0.929,0.0443614
-0.928,0.0444542
-0.927,0.0445472
-0.926,0.0446406
-0.925,0.0447342
-0.924,0.0448281
-0.923,0.0449223
-0.922,0.0450168
-0.921,0.0451115
-0.92,0.0452066
-0.919,0.0453019
-0.918,0.0453975
-0.917,0.0454934
-0.916,0.0455896
-0.915,0.0456861
-0.914,0.0457829
-0.913,0.0458799
-0.912,0.0459773
-0.911,0.0460749
-0.91,0.0461728
-0.909,0.046271
-0.908,0.0463695
-0.907,0.0464683
-0.906,0.0465674
-0.905,0.0466667
-0.904,0.0467664
-0.903,0.0468664
-0.902,0.0469666
-0.901,0.0470672
-0.9,0.047168
-0.899,0.0472691
-0.898,0.0473706
-0.897,0.0474723
-0.896,0.0475743
-0.895,0.0476766
-0.894,0.0477793
-0.893,0.0478822
-0.892,0.0479854
-0.891,0.0480889
-0.89,0.0481927
-0.889,0.0482968
-0.888,0.0484012
-0.887,0.0485059
-0.886,0.048611
-0.885,0.0487163
-0.884,0.0488219
-0.883,0.0489278
-0.882,0.049034
-0.881,0.0491406
-0.88,0.0492474
-0.879,0.0493545
-0.878,0.049462
-0.877,0.0495697
-0.876,0.0496778
-0.875,0.0497861
-0.874,0.0498948
-0.873,0.0500038
-0.872,0.0501131
-0.871,0.0502227
-0.87,0.0503326
-0.869,0.0504428
-0.868,0.0505533
-0.867,0.0506641
-0.866,0.0507753
-0.865,0.0508867
-0.864,0.0509985
-0.863,0.0511106
-0.862,0.051223
-0.861,0.0513357
-0.86,0.0514487
-0.859,0.051562
-0.858,0.0516757
-0.857,0.0517897
-0.856,0.0519039
-0.855,0.0520185
-0.854,0.0521334
-0.853,0.0522487
-0.852,0.0523642
-0.851,0.0524801
-0.85,0.0525963
-0.849,0.0527128
-0.848,0.0528296
-0.847,0.0529468
-0.846,0.0530643
-0.845,0.053182
-0.844,0.0533002
-0.843,0.0534186
-0.842,0.0535374
-0.841,0.0536564
-0.84,0.0537759
-0.839,0.0538956
-0.838,0.0540156
-0.837,0.054136
-0.836,0.0542567
-0.835,0.0543778
-0.834,0.0544991
-0.833,0.0546208
-0.832,0.0547428
-0.831,0.0548652
-0.83,0.0549879
-0.829,0.0551109
-0.828,0.0552342
-0.827,0.0553579
-0.826,0.0554819
-0.825,0.0556062
-0.824,0.0557308
-0.823,0.0558558
-0.822,0.0559812
-0.821,0.0561068
-0.82,0.0562328
-0.819,0.0563591
-0.818,0.0564858
-0.817,0.0566128
-0.816,0.0567401
-0.815,0.0568678
-0.814,0.0569958
-0.813,0.0571241
-0.812,0.0572528
-0.811,0.0573818
-0.81,0.0575112
-0.809,0.0576409
-0.808,0.0577709
-0.807,0.0579013
-0.806,0.058032
-0.805,0.0581631
-0.804,0.0582945
-0.803,0.0584262
-0.802,0.0585583
-0.801,0.0586908
-0.8,0.0588235
-0.799,0.0589566
-0.798,0.0590901
-0.797,0.0592239
-0.796,0.0593581
-0.795,0.0594927
-0.794,0.0596276
-0.793,0.0597629
-0.792,0.0598986
-0.791,0.0600347
-0.79,0.0601712
-0.789,0.060308
-0.788,0.0604453
-0.787,0.060583
-0.786,0.0607211
-0.785,0.0608597
-0.784,0.0609987
-0.783,0.0611381
-0.782,0.0612779
-0.781,0.0614182
-0.78,0.061559
-0.779,0.0617002
-0.778,0.0618419
-0.777,0.061984
-0.776,0.0621267
-0.775,0.0622698
-0.774,0.0624134
-0.773,0.0625575
-0.772,0.0627021
-0.771,0.0628472
-0.77,0.0629928
-0.769,0.0631389
-0.768,0.0632856
-0.767,0.0634328
-0.766,0.0635805
-0.765,0.0637288
-0.764,0.0638776
-0.763,0.0640269
-0.762,0.0641768
-0.761,0.0643273
-0.76,0.0644784
-0.759,0.06463
-0.758,0.0647822
-0.757,0.064935
-0.756,0.0650884
-0.755,0.0652424
-0.754,0.065397
-0.753,0.0655522
-0.752,0.065708
-0.751,0.0658644
