x,y
-4.999,0.0384763
-4.998,0.0384911
-4.997,0.038506
-4.996,0.0385208
-4.995,0.0385356
-4.994,0.0385505
-4.993,0.0385653
-4.992,0.0385802
-4.991,0.0385951
-4.99,0.03861
-4.989,0.0386249
-4.988,0.0386398
-4.987,0.0386547
-4.986,0.0386696
-4.985,0.0386845
-4.984,0.0386995
-4.983,0.0387144
-4.982,0.0387294
-4.981,0.0387444
-4.98,0.0387594
-4.979,0.0387744
-4.978,0.0387894
-4.977,0.0388044
-4.976,0.0388194
-4.975,0.0388344
-4.974,0.0388495
-4.973,0.0388645
-4.972,0.0388796
-4.971,0.0388947
-4.97,0.0389098
-4.969,0.0389249
-4.968,0.03894
-4.967,0.0389551
-4.966,0.0389702
-4.965,0.0389853
-4.964,0.0390005
-4.963,0.0390156
-4.962,0.0390308
-4.961,0.039046
-4.96,0.0390612
-4.959,0.0390763
-4.958,0.0390916
-4.957,0.0391068
-4.956,0.039122
-4.955,0.0391372
-4.954,0.0391525
-4.953,0.0391677
-4.952,0.039183
-4.951,0.0391983
-4.95,0.0392135
-4.949,0.0392288
-4.948,0.0392441
-4.947,0.0392595
-4.946,0.0392748
-4.945,0.0392901
-4.944,0.0393055
-4.943,0.0393208
-4.942,0.0393362
-4.941,0.0393516
-4.94,0.0393669
-4.939,0.0393823
-4.938,0.0393977
-4.937,0.0394131
-4.936,0.0394286
-4.935,0.039444
-4.934,0.0394595
-4.933,0.0394749
-4.932,0.0394904
-4.931,0.0395058
-4.93,0.0395213
-4.929,0.0395368
-4.928,0.0395523
-4.927,0.0395678
-4.926,0.0395834
-4.925,0.0395989
-4.924,0.0396145
-4.923,0.03963
-4.922,0.0396456
-4.921,0.0396612
-4.92,0.0396767
-4.919,0.0396923
-4.918,0.0397079
-4.917,0.0397236
-4.916,0.0397392
-4.915,0.0397548
-4.914,0.0397705
-4.913,0.0397861
-4.912,0.0398018
-4.911,0.0398175
-4.91,0.0398332
-4.909,0.0398489
-4.908,0.0398646
-4.907,0.0398803
-4.906,0.039896
-4.905,0.0399118
-4.904,0.0399275
-4.903,0.0399433
-4.902,0.039959
-4.901,0.0399748
-4.9,0.0399906
-4.899,0.0400064
-4.898,0.0400222
-4.897,0.040038
-4.896,0.0400539
-4.895,0.0400697
-4.894,0.0400856
-4.893,0.0401014
-4.892,0.0401173
-4.891,0.0401332
-4.89,0.0401491
-4.889,0.040165
-4.888,0.0401809
-4.887,0.0401968
-4.886,0.0402127
-4.885,0.0402287
-4.884,0.0402446
-4.883,0.0402606
-4.882,0.0402766
-4.881,0.0402925
-4.88,0.0403085
-4.879,0.0403245
-4.878,0.0403406
-4.877,0.0403566
-4.876,0.0403726
-4.875,0.0403887
-4.874,0.0404047
-4.873,0.0404208
-4.872,0.0404369
-4.871,0.040453
-4.87,0.0404691
-4.869,0.0404852
-4.868,0.0405013
-4.867,0.0405174
-4.866,0.0405336
-4.865,0.0405497
-4.864,0.0405659
-4.863,0.040582
-4.862,0.0405982
-4.861,0.0406144
-4.86,0.0406306
-4.859,0.0406468
-4.858,0.040663
-4.857,0.0406793
-4.856,0.0406955
-4.855,0.0407118
-4.854,0.040728
-4.853,0.0407443
-4.852,0.0407606
-4.851,0.0407769
-4.85,0.0407932
-4.849,0.0408095
-4.848,0.0408258
-4.847,0.0408422
-4.846,0.0408585
-4.845,0.0408749
-4.844,0.0408912
-4.843,0.0409076
-4.842,0.040924
-4.841,0.0409404
-4.84,0.0409568
-4.839,0.0409732
-4.838,0.0409897
-4.837,0.0410061
-4.836,0.0410226
-4.835,0.041039
-4.834,0.0410555
-4.833,0.041072
-4.832,0.0410885
-4.831,0.041105
-4.83,0.0411215
-4.829,0.041138
-4.828,0.0411546
-4.827,0.0411711
-4.826,0.0411877
-4.825,0.0412042
-4.824,0.0412208
-4.823,0.0412374
-4.822,0.041254
-4.821,0.0412706
-4.82,0.0412872
-4.819,0.0413038
-4.818,0.0413205
-4.817,0.0413371
-4.816,0.0413538
-4.815,0.0413705
-4.814,0.0413872
-4.813,0.0414038
-4.812,0.0414206
-4.811,0.0414373
-4.81,0.041454
-4.809,0.0414707
-4.808,0.0414875
-4.807,0.0415042
-4.806,0.041521
-4.805,0.0415378
-4.804,0.0415546
-4.803,0.0415714
-4.802,0.0415882
-4.801,0.041605
-4.8,0.0416218
-4.799,0.0416387
-4.798,0.0416555
-4.797,0.0416724
-4.796,0.0416893
-4.795,0.0417061
-4.794,0.041723
-4.793,0.0417399
-4.792,0.0417569
-4.791,0.0417738
-4.79,0.0417907
-4.789,0.0418077
-4.788,0.0418246
-4.787,0.0418416
-4.786,0.0418586
-4.785,0.0418756
-4.784,0.0418926
-4.783,0.0419096
-4.782,0.0419266
-4.781,0.0419436
-4.78,0.0419607
-4.779,0.0419777
-4.778,0.0419948
-4.777,0.0420119
-4.776,0.042029
-4.775,0.0420461
-4.774,0.0420632
-4.773,0.0420803
-4.772,0.0420974
-4.771,0.0421146
-4.77,0.0421317
-4.769,0.0421489
-4.768,0.042166
-4.767,0.0421832
-4.766,0.0422004
-4.765,0.0422176
-4.764,0.0422348
-4.763,0.0422521
-4.762,0.0422693
-4.761,0.0422866
-4.76,0.0423038
-4.759,0.0423211
-4.758,0.0423384
-4.757,0.0423556
-4.756,0.042373
-4.755,0.0423903
-4.754,0.0424076
-4.753,0.0424249
-4.752,0.0424423
-4.751,0.0424596
-4.75,0.042477
-4.749,0.0424944
-4.748,0.0425118
-4.747,0.0425292
-4.746,0.0425466
-4.745,0.042564
-4.744,0.0425814
-4.743,0.0425989
-4.742,0.0426163
-4.741,0.0426338
-4.74,0.0426512
-4.739,0.0426687
-4.738,0.0426862
-4.737,0.0427037
-4.736,0.0427213
-4.735,0.0427388
-4.734,0.0427563
-4.733,0.0427739
-4.732,0.0427914
-4.731,0.042809
-4.73,0.0428266
-4.729,0.0428442
-4.728,0.0428618
-4.727,0.0428794
-4.726,0.042897
-4.725,0.0429147
-4.724,0.0429323
-4.723,0.04295
-4.722,0.0429677
-4.721,0.0429853
-4.72,0.043003
-4.719,0.0430207
-4.718,0.0430384
-4.717,0.0430562
-4.716,0.0430739
-4.715,0.0430917
-4.714,0.0431094
-4.713,0.0431272
-4.712,0.043145
-4.711,0.0431627
-4.71,0.0431806
-4.709,0.0431984
-4.708,0.0432162
-4.707,0.043234
-4.706,0.0432519
-4.705,0.0432697
-4.704,0.0432876
-4.703,0.0433055
-4.702,0.0433234
-4.701,0.0433413
-4.7,0.0433592
-4.699,0.0433771
-4.698,0.043395
-4.697,0.043413
-4.696,0.0434309
-4.695,0.0434489
-4.694,0.0434669
-4.693,0.0434849
-4.692,0.0435029
-4.691,0.0435209
-4.69,0.0435389
-4.689,0.0435569
-4.688,0.043575
-4.687,0.043593
-4.686,0.0436111
-4.685,0.0436292
-4.684,0.0436473
-4.683,0.0436654
-4.682,0.0436835
-4.681,0.0437016
-4.68,0.0437197
-4.679,0.0437379
-4.678,0.043756
-4.677,0.0437742
-4.676,0.0437924
-4.675,0.0438106
-4.674,0.0438288
-4.673,0.043847
-4.672,0.0438652
-4.671,0.0438834
-4.67,0.0439017
-4.669,0.0439199
-4.668,0.0439382
-4.667,0.0439565
-4.666,0.0439747
-4.665,0.043993
-4.664,0.0440114
-4.663,0.0440297
-4.662,0.044048
-4.661,0.0440664
-4.66,0.0440847
-4.659,0.0441031
-4.658,0.0441215
-4.657,0.0441398
-4.656,0.0441582
-4.655,0.0441767
-4.654,0.0441951
-4.653,0.0442135
-4.652,0.044232
-4.651,0.0442504
-4.65,0.0442689
-4.649,0.0442874
-4.648,0.0443058
-4.647,0.0443243
-4.646,0.0443429
-4.645,0.0443614
-4.644,0.0443799
-4.643,0.0443985
-4.642,0.044417
-4.641,0.0444356
-4.64,0.0444542
-4.639,0.0444727
-4.638,0.0444914
-4.637,0.04451
-4.636,0.0445286
-4.635,0.0445472
-4.634,0.0445659
-4.633,0.0445845
-4.632,0.0446032
-4.631,0.0446219
-4.63,0.0446406
-4.629,0.0446593
-4.628,0.044678
-4.627,0.0446967
-4.626,0.0447154
-4.625,0.0447342
-4.624,0.044753
-4.623,0.0447717
-4.622,0.0447905
-4.621,0.0448093
-4.62,0.0448281
-4.619,0.0448469
