x,y
-4.999,0.0384819
-4.998,0.0385023
-4.997,0.0385226
-4.996,0.038543
-4.995,0.0385633
-4.994,0.0385837
-4.993,0.0386041
-4.992,0.0386244
-4.991,0.0386448
-4.99,0.0386652
-4.989,0.0386855
-4.988,0.0387059
-4.987,0.0387262
-4.986,0.0387466
-4.985,0.038767
-4.984,0.0387873
-4.983,0.0388077
-4.982,0.0388281
-4.981,0.0388484
-4.98,0.0388688
-4.979,0.0388891
-4.978,0.0389095
-4.977,0.0389299
-4.976,0.0389502
-4.975,0.0389706
-4.974,0.038991
-4.973,0.0390113
-4.972,0.0390317
-4.971,0.039052
-4.97,0.0390724
-4.969,0.0390928
-4.968,0.0391131
-4.967,0.0391335
-4.966,0.0391538
-4.965,0.0391742
-4.964,0.0391946
-4.963,0.0392149
-4.962,0.0392353
-4.961,0.0392557
-4.96,0.039276
-4.959,0.0392964
-4.958,0.0393167
-4.957,0.0393371
-4.956,0.0393575
-4.955,0.0393778
-4.954,0.0393982
-4.953,0.0394186
-4.952,0.0394389
-4.951,0.0394593
-4.95,0.0394796
-4.949,0.0395
-4.948,0.0395204
-4.947,0.0395407
-4.946,0.0395611
-4.945,0.0395814
-4.944,0.0396018
-4.943,0.0396222
-4.942,0.0396425
-4.941,0.0396629
-4.94,0.0396833
-4.939,0.0397036
-4.938,0.039724
-4.937,0.0397443
-4.936,0.0397647
-4.935,0.0397851
-4.934,0.0398054
-4.933,0.0398258
-4.932,0.0398462
-4.931,0.0398665
-4.93,0.0398869
-4.929,0.0399072
-4.928,0.0399276
-4.927,0.039948
-4.926,0.0399683
-4.925,0.0399887
-4.924,0.040009
-4.923,0.0400294
-4.922,0.0400498
-4.921,0.0400701
-4.92,0.0400905
-4.919,0.0401109
-4.918,0.0401312
-4.917,0.0401516
-4.916,0.0401719
-4.915,0.0401923
-4.914,0.0402127
-4.913,0.040233
-4.912,0.0402534
-4.911,0.0402738
-4.91,0.0402941
-4.909,0.0403145
-4.908,0.0403348
