x,y
-4.999,0.038476
-4.998,0.0384905
-4.997,0.038505
-4.996,0.0385195
-4.995,0.0385341
-4.994,0.0385486
-4.993,0.0385631
-4.992,0.0385777
-4.991,0.0385923
-4.99,0.0386069
-4.989,0.0386214
-4.988,0.038636
-4.987,0.0386507
-4.986,0.0386653
-4.985,0.0386799
-4.984,0.0386946
-4.983,0.0387092
-4.982,0.0387239
-4.981,0.0387386
-4.98,0.0387533
-4.979,0.038768
-4.978,0.0387827
-4.977,0.0387974
-4.976,0.0388121
-4.975,0.0388269
-4.974,0.0388416
-4.973,0.0388564
-4.972,0.0388712
-4.971,0.0388859
-4.97,0.0389007
-4.969,0.0389155
-4.968,0.0389304
-4.967,0.0389452
-4.966,0.03896
-4.965,0.0389749
-4.964,0.0389898
-4.963,0.0390046
-4.962,0.0390195
-4.961,0.0390344
-4.96,0.0390493
-4.959,0.0390642
-4.958,0.0390792
-4.957,0.0390941
-4.956,0.039109
-4.955,0.039124
-4.954,0.039139
-4.953,0.039154
-4.952,0.039169
-4.951,0.039184
-4.95,0.039199
-4.949,0.039214
-4.948,0.039229
-4.947,0.0392441
-4.946,0.0392591
-4.945,0.0392742
-4.944,0.0392893
-4.943,0.0393044
-4.942,0.0393195
-4.941,0.0393346
-4.94,0.0393497
-4.939,0.0393649
-4.938,0.03938
-4.937,0.0393952
-4.936,0.0394103
-4.935,0.0394255
-4.934,0.0394407
-4.933,0.0394559
-4.932,0.0394711
-4.931,0.0394863
-4.93,0.0395016
-4.929,0.0395168
-4.928,0.0395321
-4.927,0.0395473
-4.926,0.0395626
-4.925,0.0395779
-4.924,0.0395932
-4.923,0.0396085
-4.922,0.0396238
-4.921,0.0396391
-4.92,0.0396545
-4.919,0.0396698
-4.918,0.0396852
-4.917,0.0397006
-4.916,0.039716
-4.915,0.0397314
-4.914,0.0397468
-4.913,0.0397622
-4.912,0.0397776
-4.911,0.039793
-4.91,0.0398085
-4.909,0.039824
-4.908,0.0398394
-4.907,0.0398549
-4.906,0.0398704
-4.905,0.0398859
-4.904,0.0399014
-4.903,0.0399169
-4.902,0.0399325
-4.901,0.039948
-4.9,0.0399636
-4.899,0.0399792
-4.898,0.0399947
-4.897,0.0400103
-4.896,0.0400259
-4.895,0.0400415
-4.894,0.0400572
-4.893,0.0400728
-4.892,0.0400884
-4.891,0.0401041
-4.89,0.0401198
-4.889,0.0401355
-4.888,0.0401511
-4.887,0.0401668
-4.886,0.0401826
-4.885,0.0401983
-4.884,0.040214
-4.883,0.0402297
-4.882,0.0402455
-4.881,0.0402613
-4.88,0.040277
-4.879,0.0402928
-4.878,0.0403086
-4.877,0.0403244
-4.876,0.0403403
-4.875,0.0403561
-4.874,0.0403719
-4.873,0.0403878
-4.872,0.0404036
-4.871,0.0404195
-4.87,0.0404354
-4.869,0.0404513
-4.868,0.0404672
-4.867,0.0404831
-4.866,0.040499
-4.865,0.040515
-4.864,0.0405309
-4.863,0.0405469
-4.862,0.0405629
-4.861,0.0405789
-4.86,0.0405948
-4.859,0.0406108
-4.858,0.0406269
-4.857,0.0406429
-4.856,0.0406589
-4.855,0.040675
-4.854,0.040691
-4.853,0.0407071
-4.852,0.0407232
-4.851,0.0407393
-4.85,0.0407554
-4.849,0.0407715
-4.848,0.0407876
-4.847,0.0408037
-4.846,0.0408199
-4.845,0.0408361
-4.844,0.0408522
-4.843,0.0408684
-4.842,0.0408846
-4.841,0.0409008
-4.84,0.040917
-4.839,0.0409332
-4.838,0.0409495
-4.837,0.0409657
-4.836,0.0409819
-4.835,0.0409982
-4.834,0.0410145
-4.833,0.0410308
-4.832,0.0410471
-4.831,0.0410634
-4.83,0.0410797
-4.829,0.041096
-4.828,0.0411124
-4.827,0.0411287
-4.826,0.0411451
-4.825,0.0411615
-4.824,0.0411778
-4.823,0.0411942
-4.822,0.0412106
-4.821,0.0412271
-4.82,0.0412435
-4.819,0.0412599
-4.818,0.0412764
-4.817,0.0412928
-4.816,0.0413093
-4.815,0.0413258
-4.814,0.0413423
-4.813,0.0413588
-4.812,0.0413753
-4.811,0.0413918
-4.81,0.0414084
-4.809,0.0414249
-4.808,0.0414415
-4.807,0.0414581
-4.806,0.0414746
-4.805,0.0414912
-4.804,0.0415078
-4.803,0.0415244
-4.802,0.0415411
-4.801,0.0415577
-4.8,0.0415743
-4.799,0.041591
-4.798,0.0416077
-4.797,0.0416243
-4.796,0.041641
-4.795,0.0416577
-4.794,0.0416744
-4.793,0.0416912
-4.792,0.0417079
-4.791,0.0417246
-4.79,0.0417414
-4.789,0.0417582
-4.788,0.0417749
-4.787,0.0417917
-4.786,0.0418085
-4.785,0.0418253
-4.784,0.0418422
-4.783,0.041859
-4.782,0.0418758
-4.781,0.0418927
-4.78,0.0419095
-4.779,0.0419264
-4.778,0.0419433
-4.777,0.0419602
-4.776,0.0419771
-4.775,0.041994
-4.774,0.0420109
-4.773,0.0420279
-4.772,0.0420448
-4.771,0.0420618
-4.77,0.0420788
-4.769,0.0420957
-4.768,0.0421127
-4.767,0.0421297
