x,y
-0.999,0.0385356
-0.998,0.0386099
-0.997,0.0386844
-0.996,0.0387591
-0.995,0.038834
-0.994,0.0389091
-0.993,0.0389844
-0.992,0.03906
-0.991,0.0391357
-0.99,0.0392117
-0.989,0.0392879
-0.988,0.0393643
-0.987,0.039441
-0.986,0.0395178
-0.985,0.0395949
-0.984,0.0396722
-0.983,0.0397497
-0.982,0.0398274
-0.981,0.0399054
-0.98,0.0399836
-0.979,0.040062
-0.978,0.0401407
-0.977,0.0402195
-0.976,0.0402986
-0.975,0.040378
-0.974,0.0404576
-0.973,0.0405374
-0.972,0.0406174
-0.971,0.0406977
-0.97,0.0407782
-0.969,0.0408589
-0.968,0.0409399
-0.967,0.0410211
-0.966,0.0411026
-0.965,0.0411843
-0.964,0.0412662
-0.963,0.0413484
-0.962,0.0414309
-0.961,0.0415135
-0.96,0.0415964
-0.959,0.0416796
-0.958,0.041763
-0.957,0.0418467
-0.956,0.0419306
-0.955,0.0420148
-0.954,0.0420992
-0.953,0.0421839
-0.952,0.0422688
-0.951,0.042354
-0.95,0.0424394
-0.949,0.0425251
-0.948,0.042611
-0.947,0.0426972
-0.946,0.0427837
-0.945,0.0428704
-0.944,0.0429574
-0.943,0.0430447
-0.942,0.0431322
-0.941,0.04322
-0.94,0.043308
-0.939,0.0433963
-0.938,0.0434849
-0.937,0.0435737
-0.936,0.0436629
-0.935,0.0437522
-0.934,0.0438419
-0.933,0.0439318
-0.932,0.044022
-0.931,0.0441125
-0.93,0.0442033
-0.929,0.0442943
-0.928,0.0443856
-0.927,0.0444772
-0.926,0.0445691
-0.925,0.0446612
-0.924,0.0447536
-0.923,0.0448463
-0.922,0.0449393
-0.921,0.0450326
-0.92,0.0451262
-0.919,0.04522
-0.918,0.0453141
-0.917,0.0454086
-0.916,0.0455033
-0.915,0.0455983
-0.914,0.0456936
-0.913,0.0457892
-0.912,0.045885
-0.911,0.0459812
-0.91,0.0460777
-0.909,0.0461745
-0.908,0.0462715
-0.907,0.0463689
-0.906,0.0464665
-0.905,0.0465645
-0.904,0.0466628
-0.903,0.0467613
-0.902,0.0468602
-0.901,0.0469593
-0.9,0.0470588
-0.899,0.0471586
-0.898,0.0472587
-0.897,0.0473591
-0.896,0.0474598
-0.895,0.0475608
-0.894,0.0476622
-0.893,0.0477638
-0.892,0.0478658
-0.891,0.0479681
-0.89,0.0480707
-0.889,0.0481736
-0.888,0.0482769
-0.887,0.0483804
-0.886,0.0484843
-0.885,0.0485886
-0.884,0.0486931
-0.883,0.048798
-0.882,0.0489033
-0.881,0.0490088
-0.88,0.0491147
-0.879,0.049221
-0.878,0.0493276
-0.877,0.0494345
-0.876,0.0495418
-0.875,0.0496494
-0.874,0.0497573
-0.873,0.0498657
-0.872,0.0499743
-0.871,0.0500833
-0.87,0.0501927
-0.869,0.0503024
-0.868,0.0504125
-0.867,0.0505229
-0.866,0.0506337
-0.865,0.0507449
-0.864,0.0508564
-0.863,0.0509683
-0.862,0.0510805
-0.861,0.0511931
-0.86,0.0513061
-0.859,0.0514195
-0.858,0.0515332
-0.857,0.0516473
-0.856,0.0517618
-0.855,0.0518767
-0.854,0.0519919
-0.853,0.0521075
-0.852,0.0522235
-0.851,0.0523399
-0.85,0.0524567
-0.849,0.0525739
-0.848,0.0526914
-0.847,0.0528093
-0.846,0.0529277
-0.845,0.0530464
-0.844,0.0531655
-0.843,0.0532851
-0.842,0.053405
-0.841,0.0535253
-0.84,0.053646
-0.839,0.0537671
-0.838,0.0538887
-0.837,0.0540106
-0.836,0.054133
-0.835,0.0542557
-0.834,0.0543789
-0.833,0.0545025
-0.832,0.0546265
-0.831,0.0547509
-0.83,0.0548757
-0.829,0.055001
-0.828,0.0551267
-0.827,0.0552528
-0.826,0.0553793
-0.825,0.0555062
-0.824,0.0556336
-0.823,0.0557614
-0.822,0.0558897
-0.821,0.0560184
-0.82,0.0561475
-0.819,0.056277
-0.818,0.056407
-0.817,0.0565374
-0.816,0.0566683
-0.815,0.0567996
-0.814,0.0569314
-0.813,0.0570636
-0.812,0.0571962
-0.811,0.0573293
-0.81,0.0574629
-0.809,0.0575969
-0.808,0.0577313
-0.807,0.0578662
-0.806,0.0580016
-0.805,0.0581374
-0.804,0.0582737
-0.803,0.0584105
-0.802,0.0585477
-0.801,0.0586854
-0.8,0.0588235
-0.799,0.0589622
-0.798,0.0591012
-0.797,0.0592408
-0.796,0.0593809
-0.795,0.0595214
-0.794,0.0596624
-0.793,0.0598039
-0.792,0.0599459
-0.791,0.0600883
-0.79,0.0602313
-0.789,0.0603748
-0.788,0.0605187
-0.787,0.0606632
-0.786,0.0608082
-0.785,0.0609537
-0.784,0.0610997
-0.783,0.0612462
-0.782,0.0613932
-0.781,0.0615407
-0.78,0.0616888
-0.779,0.0618374
-0.778,0.0619865
-0.777,0.0621361
-0.776,0.0622863
-0.775,0.062437
-0.774,0.0625883
-0.773,0.0627401
-0.772,0.0628924
-0.771,0.0630453
-0.77,0.0631987
-0.769,0.0633527
-0.768,0.0635073
-0.767,0.0636624
-0.766,0.0638181
-0.765,0.0639743
-0.764,0.0641311
-0.763,0.0642884
-0.762,0.0644464
-0.761,0.0646049
-0.76,0.064764
-0.759,0.0649236
-0.758,0.0650839
-0.757,0.0652447
-0.756,0.0654062
-0.755,0.0655682
-0.754,0.0657308
-0.753,0.065894
-0.752,0.0660578
-0.751,0.0662222
-0.75,0.0663872
-0.749,0.0665529
-0.748,0.0667191
-0.747,0.066886
-0.746,0.0670534
-0.745,0.0672215
-0.744,0.0673902
-0.743,0.0675596
-0.742,0.0677295
-0.741,0.0679001
-0.74,0.0680713
-0.739,0.0682432
-0.738,0.0684157
-0.737,0.0685889
-0.736,0.0687626
-0.735,0.0689371
-0.734,0.0691122
-0.733,0.0692879
-0.732,0.0694643
-0.731,0.0696413
-0.73,0.0698191
-0.729,0.0699974
-0.728,0.0701765
-0.727,0.0703562
-0.726,0.0705366
-0.725,0.0707176
-0.724,0.0708994
-0.723,0.0710818
-0.722,0.0712649
-0.721,0.0714487
-0.72,0.0716332
-0.719,0.0718183
-0.718,0.0720042
-0.717,0.0721908
-0.716,0.072378
