x,y
0.994,0
0.994,-3.69402e-05
0.994,-7.38767e-05
0.994,-0.000110855
0.993999,-0.000147882
0.993999,-0.000184953
0.993998,-0.000222064
0.993997,-0.000259237
0.993997,-0.000296449
0.993996,-0.0003337
0.993995,-0.000371007
0.993993,-0.000408364
0.993992,-0.000445748
0.993991,-0.000483203
0.993989,-0.000520717
0.993988,-0.000558278
0.993986,-0.00059589
0.993984,-0.000633549
0.993982,-0.000671279
0.99398,-0.000709051
0.993978,-0.000746878
0.993976,-0.000784765
0.993973,-0.000822703
0.993971,-0.000860727
0.993968,-0.000898806
0.993965,-0.00093691
0.993963,-0.000975118
0.99396,-0.00101333
0.993956,-0.0010516
0.993953,-0.00108997
0.99395,-0.00112841
0.993946,-0.00116687
0.993943,-0.00120544
0.993939,-0.00124405
0.993935,-0.00128274
0.993931,-0.0013215
0.993927,-0.00136034
0.993923,-0.00139921
0.993919,-0.00143818
0.993914,-0.0014772
0.993909,-0.00151631
0.993905,-0.00155547
0.9939,-0.00159473
0.993895,-0.00163406
0.99389,-0.00167345
0.993884,-0.00171291
0.993879,-0.00175245
0.993874,-0.00179202
0.993868,-0.00183166
0.993862,-0.00187135
0.993856,-0.00191116
0.99385,-0.00195108
0.993844,-0.00199102
0.993838,-0.00203111
0.993831,-0.00207129
0.993824,-0.00211151
0.993818,-0.0021518
0.993811,-0.00219223
0.993804,-0.0022327
0.993797,-0.0022732
0.993789,-0.00231383
0.993782,-0.00235453
0.993774,-0.00239531
0.993766,-0.00243614
0.993758,-0.00247701
0.99375,-0.00251803
0.993742,-0.00255914
0.993734,-0.00260029
0.993725,-0.00264149
0.993717,-0.00268284
0.993708,-0.00272423
0.993699,-0.00276581
0.99369,-0.00280742
0.99368,-0.00284907
0.993671,-0.00289087
0.993661,-0.00293279
0.993652,-0.00297467
0.993642,-0.00301666
0.993632,-0.00305873
0.993622,-0.00310089
0.993611,-0.00314314
0.993601,-0.00318547
0.99359,-0.00322794
0.993579,-0.00327043
0.993568,-0.00331299
0.993557,-0.00335572
0.993545,-0.00339839
0.993534,-0.00344129
0.993522,-0.00348422
0.99351,-0.0035272
0.993498,-0.00357033
0.993486,-0.00361349
0.993474,-0.00365675
0.993461,-0.00369996
0.993449,-0.00374337
0.993436,-0.00378684
0.993423,-0.00383044
0.993409,-0.00387407
0.993396,-0.00391783
0.993382,-0.00396159
0.993369,-0.00400544
0.993355,-0.00404944
0.993341,-0.00409342
0.993326,-0.00413748
0.993312,-0.00418153
0.993297,-0.0042258
0.993283,-0.00427019
0.993268,-0.00431454
0.993253,-0.00435883
0.993237,-0.0044033
0.993222,-0.00444782
0.993206,-0.00449245
0.99319,-0.00453715
0.993174,-0.004582
0.993158,-0.0046269
0.993142,-0.00467178
0.993125,-0.00471672
0.993108,-0.0047616
0.993091,-0.0048066
0.993074,-0.00485166
0.993057,-0.0048968
0.993039,-0.00494197
0.993022,-0.00498722
0.993004,-0.00503261
0.992986,-0.00507793
0.992968,-0.00512343
0.992949,-0.00516889
0.992931,-0.00521443
0.992912,-0.00525997
0.992893,-0.00530556
0.992874,-0.00535122
0.992855,-0.00539696
0.992835,-0.00544273
0.992816,-0.00548863
0.992796,-0.0055345
0.992776,-0.00558031
0.992756,-0.0056263
0.992735,-0.00567217
0.992715,-0.00571819
0.992694,-0.00576427
0.992673,-0.00581045
0.992652,-0.00585666
0.99263,-0.0059028
0.992609,-0.00594907
0.992587,-0.00599528
0.992565,-0.00604155
0.992543,-0.00608794
0.992521,-0.0061343
0.992499,-0.00618075
0.992476,-0.00622722
0.992453,-0.00627372
0.99243,-0.00632029
0.992407,-0.0063669
0.992384,-0.00641357
0.99236,-0.00646032
0.992336,-0.00650683
0.992313,-0.00655343
0.992288,-0.00660012
0.992264,-0.00664682
0.99224,-0.00669367
0.992215,-0.00674038
0.99219,-0.00678727
0.992165,-0.00683418
0.99214,-0.00688112
0.992115,-0.00692804
0.992089,-0.00697501
0.992063,-0.00702195
0.992037,-0.00706886
0.992011,-0.00711603
0.991985,-0.00716317
0.991958,-0.00721038
0.991931,-0.0072576
0.991905,-0.00730464
0.991877,-0.00735182
0.99185,-0.00739912
0.991823,-0.0074464
0.991795,-0.00749381
0.991767,-0.00754122
0.991739,-0.00758868
0.991711,-0.00763615
0.991682,-0.0076835
0.991653,-0.00773109
0.991625,-0.00777865
0.991596,-0.00782618
0.991566,-0.00787378
0.991537,-0.00792144
0.991507,-0.00796911
0.991477,-0.00801682
0.991447,-0.00806451
0.991417,-0.00811229
0.991387,-0.00816013
0.991356,-0.00820808
0.991325,-0.00825589
0.991294,-0.00830384
0.991263,-0.00835174
0.991231,-0.00839984
0.9912,-0.00844787
0.991168,-0.00849595
0.991136,-0.00854414
0.991103,-0.00859235
0.991071,-0.00864046
0.991038,-0.00868872
0.991005,-0.00873706
0.990972,-0.00878537
0.990939,-0.00883366
0.990905,-0.00888205
0.990872,-0.00893036
0.990838,-0.00897879
0.990804,-0.00902733
0.990769,-0.0090758
0.990735,-0.00912445
0.9907,-0.0091731
0.990665,-0.00922175
0.99063,-0.00927057
0.990594,-0.00931927
0.990559,-0.00936809
0.990523,-0.00941696
0.990487,-0.00946589
0.99045,-0.0095148
0.990414,-0.0095637
0.990377,-0.0096127
0.99034,-0.0096618
0.990303,-0.00971082
0.990266,-0.00976006
0.990228,-0.00980926
0.99019,-0.00985861
0.990152,-0.00990804
0.990114,-0.0099574
0.990075,-0.0100069
0.990036,-0.0100565
0.989998,-0.0101059
0.989958,-0.0101555
0.989919,-0.0102052
0.989879,-0.0102549
0.989839,-0.0103046
0.989799,-0.0103546
0.989759,-0.0104045
0.989718,-0.0104543
0.989677,-0.0105042
0.989636,-0.0105541
0.989595,-0.0106043
0.989553,-0.0106543
0.989511,-0.0107046
0.989469,-0.0107548
0.989427,-0.0108049
0.989385,-0.0108552
0.989342,-0.0109056
0.989299,-0.010956
0.989256,-0.0110063
0.989212,-0.0110568
0.989169,-0.0111073
0.989125,-0.011158
0.989081,-0.0112085
0.989036,-0.0112593
0.988992,-0.0113101
0.988947,-0.0113609
0.988901,-0.0114118
0.988856,-0.0114627
0.98881,-0.0115138
0.988765,-0.0115647
0.988718,-0.0116158
0.988672,-0.0116669
0.988625,-0.011718
0.988579,-0.0117691
0.988531,-0.0118205
0.988484,-0.0118718
0.988436,-0.0119233
0.988388,-0.0119747
0.98834,-0.0120264
0.988292,-0.012078
0.988243,-0.0121298
0.988194,-0.0121816
0.988144,-0.0122336
0.988095,-0.0122853
0.988045,-0.0123371
0.987995,-0.0123892
0.987945,-0.0124413
0.987894,-0.0124933
0.987843,-0.0125456
0.987792,-0.0125979
0.98774,-0.0126504
0.987689,-0.0127028
0.987637,-0.0127553
0.987584,-0.0128079
0.987531,-0.0128607
0.987479,-0.0129131
0.987426,-0.012966
0.987372,-0.0130188
0.987319,-0.0130715
0.987265,-0.0131244
0.987211,-0.0131773
0.987156,-0.0132303
0.987101,-0.0132835
0.987046,-0.0133366
0.986991,-0.0133898
0.986935,-0.0134433
0.986879,-0.0134968
0.986823,-0.0135503
0.986766,-0.013604
0.986709,-0.0136577
0.986652,-0.0137114
0.986594,-0.0137651
0.986537,-0.0138189
0.986478,-0.0138729
0.98642,-0.0139269
0.986361,-0.0139809
0.986302,-0.014035
0.986243,-0.0140893
0.986183,-0.0141436
0.986123,-0.014198
0.986063,-0.0142525
