x,u
0,0.000138434
0.05,0.000104378
0.1,7.75211e-05
0.15,5.74316e-05
0.2,4.3005e-05
0.25,3.22368e-05
0.3,2.36278e-05
0.35,1.68207e-05
0.4,1.21336e-05
0.45,9.35648e-06
0.5,7.14342e-06
0.55,4.58359e-06
0.6,2.7104e-06
0.65,2.52037e-06
0.7,2.55941e-06
0.75,1.21718e-06
0.8,-7.34216e-08
0.85,5.54977e-07
0.9,1.4686e-06
0.95,4.08512e-07
1,-9.27491e-07
1.05,-1.80147e-08
1.1,1.31449e-06
1.15,2.6965e-07
1.2,-1.24606e-06
1.25,-2.06817e-07
1.3,1.38307e-06
1.35,2.82886e-07
1.4,-1.4182e-06
1.45,-2.89376e-07
1.5,1.49487e-06
1.55,3.23852e-07
1.6,-1.54967e-06
1.65,-3.44953e-07
1.7,1.61216e-06
1.75,3.73623e-07
1.8,-1.67037e-06
1.85,-4.03527e-07
1.9,1.73009e-06
1.95,4.40274e-07
2,-1.7891e-06
2.05,-4.84503e-07
2.1,1.84816e-06
2.15,5.39049e-07
2.2,-1.90628e-06
2.25,-6.05931e-07
2.3,1.96265e-06
2.35,6.87563e-07
2.4,-2.01574e-06
2.45,-7.86213e-07
2.5,2.06358e-06
2.55,9.04149e-07
2.6,-2.10355e-06
2.65,-1.04347e-06
2.7,2.13235e-06
2.75,1.20603e-06
2.8,-2.14595e-06
2.85,-1.39327e-06
2.9,2.1395e-06
2.95,1.60604e-06
3,-2.1073e-06
3.05,-1.84436e-06
3.1,2.04286e-06
3.15,2.10713e-06
3.2,-1.93886e-06
3.25,-2.39182e-06
3.3,1.78739e-06
3.35,2.69413e-06
3.4,-1.58008e-06
3.45,-3.00757e-06
3.5,1.30849e-06
3.55,3.32307e-06
3.6,-9.64577e-07
3.65,-3.62868e-06
3.7,5.41304e-07
3.75,3.90921e-06
3.8,-3.34846e-08
3.85,-4.14613e-06
3.9,-5.61245e-07
3.95,4.31757e-06
4,1.24126e-06
4.05,-4.39862e-06
4.1,-1.99965e-06
4.15,4.36202e-06
4.2,2.82286e-06
4.25,-4.17928e-06
4.3,-3.68931e-06
4.35,3.82236e-06
4.4,4.56825e-06
4.45,-3.2659e-06
4.5,-5.41892e-06
4.55,2.49015e-06
4.6,6.19032e-06
4.65,-1.48442e-06
4.7,-6.82183e-06
4.75,2.51051e-07
4.8,7.24502e-06
4.85,1.19044e-06
4.9,-7.38682e-06
4.95,-2.79932e-06
5,7.17451e-06
5.05,4.51025e-06
5.1,-6.54233e-06
5.15,-6.23129e-06
5.2,5.44001e-06
5.25,7.84396e-06
5.3,-3.84265e-06
5.35,-9.20625e-06
5.4,1.76135e-06
5.45,1.01595e-05
5.5,7.46275e-07
5.55,-1.05397e-05
5.6,-3.56742e-06
5.65,1.01934e-05
5.7,6.52896e-06
5.75,-8.99794e-06
5.8,-9.39794e-06
5.85,6.88551e-06
